Team1,Team2,Ground,Winner,Host_Country,Venue_Team1,Venue_Team2,Innings_Team1,Innings_Team2,year,Day,Victory
India,Sri Lanka,Sharjah,India,U.A.E.,Neutral,Neutral,Second,First,1995,Sunday,batting second
India,Sri Lanka,Sharjah,India,U.A.E.,Neutral,Neutral,Second,First,1995,Friday,batting second
India,New Zealand,Jamshedpur,New Zealand,India,Home,Away,First,Second,1995,Wednesday,batting second
India,New Zealand,Amritsar,India,India,Home,Away,Second,First,1995,Saturday,batting second
India,New Zealand,Pune,India,India,Home,Away,Second,First,1995,Friday,batting second
India,New Zealand,Nagpur,New Zealand,India,Home,Away,Second,First,1995,Sunday,batting first
India,New Zealand,Mumbai,India,India,Home,Away,Second,First,1995,Wednesday,batting second
India,Kenya,Cuttack,India,India,Home,Away,Second,First,1996,Sunday,batting second
India,West Indies,Gwalior,India,India,Home,Away,Second,First,1996,Wednesday,batting second
India,Australia,Mumbai,Australia,India,Home,Away,Second,First,1996,Tuesday,batting first
India,Sri Lanka,Delhi,Sri Lanka,India,Home,Away,First,Second,1996,Saturday,batting second
India,Zimbabwe,Kanpur,India,India,Home,Away,First,Second,1996,Wednesday,batting first
India,Pakistan,Bengaluru,India,India,Home,Away,First,Second,1996,Saturday,batting first
India,Pakistan,Sharjah,Pakistan,U.A.E.,Neutral,Neutral,Second,First,1996,Friday,batting first
India,South Africa,Sharjah,South Africa,U.A.E.,Neutral,Neutral,Second,First,1996,Sunday,batting first
India,Pakistan,Sharjah,India,U.A.E.,Neutral,Neutral,First,Second,1996,Monday,batting first
India,South Africa,Sharjah,South Africa,U.A.E.,Neutral,Neutral,First,Second,1996,Wednesday,batting second
India,South Africa,Sharjah,South Africa,U.A.E.,Neutral,Neutral,Second,First,1996,Friday,batting first
India,Zimbabwe,Colombo,India,Sri Lanka,Neutral,Neutral,Second,First,1996,Sunday,batting second
India,Pakistan,Toronto,India,Canada,Neutral,Neutral,Second,First,1996,Monday,batting second
India,Pakistan,Toronto,Pakistan,Canada,Neutral,Neutral,First,Second,1996,Tuesday,batting second
India,Pakistan,Toronto,India,Canada,Neutral,Neutral,First,Second,1996,Wednesday,batting first
India,Pakistan,Toronto,Pakistan,Canada,Neutral,Neutral,Second,First,1996,Saturday,batting first
India,Pakistan,Toronto,Pakistan,Canada,Neutral,Neutral,Second,First,1996,Monday,batting first
India,South Africa,Hyderabad,South Africa,India,Home,Away,Second,First,1996,Thursday,batting first
India,Australia,Bengaluru,India,India,Home,Away,Second,First,1996,Monday,batting second
India,South Africa,Jaipur,South Africa,India,Home,Away,Second,First,1996,Wednesday,batting first
India,South Africa,Rajkot,South Africa,India,Home,Away,First,Second,1996,Tuesday,batting second
India,South Africa,Mumbai,India,India,Home,Away,First,Second,1996,Wednesday,batting first
India,South Africa,Mumbai,India,India,Home,Away,First,Second,1996,Saturday,batting first
India,Zimbabwe,Centurion,Zimbabwe,South Africa,Neutral,Neutral,First,Second,1997,Friday,batting second
India,Zimbabwe,Benoni,India,South Africa,Neutral,Neutral,Second,First,1997,Sunday,batting second
India,New Zealand,Bengaluru,India,India,Home,Away,Second,First,1997,Wednesday,batting second
India,Sri Lanka,Mumbai,Sri Lanka,India,Home,Away,First,Second,1997,Saturday,batting second
India,Pakistan,Chennai,Pakistan,India,Home,Away,Second,First,1997,Wednesday,batting first
India,Pakistan,Toronto,India,Canada,Neutral,Neutral,First,Second,1997,Saturday,batting first
India,Pakistan,Toronto,India,Canada,Neutral,Neutral,Second,First,1997,Sunday,batting second
India,Pakistan,Toronto,India,Canada,Neutral,Neutral,First,Second,1997,Thursday,batting first
India,Pakistan,Toronto,India,Canada,Neutral,Neutral,Second,First,1997,Saturday,batting second
India,Pakistan,Toronto,Pakistan,Canada,Neutral,Neutral,First,Second,1997,Sunday,batting second
India,Pakistan,Sharjah,Pakistan,U.A.E.,Neutral,Neutral,First,Second,1997,Sunday,batting second
India,West Indies,Sharjah,West Indies,U.A.E.,Neutral,Neutral,Second,First,1997,Tuesday,batting first
India,Sri Lanka,Guwahati,India,India,Home,Away,Second,First,1997,Monday,batting second
India,Sri Lanka,Margao,Sri Lanka,India,Home,Away,First,Second,1997,Sunday,batting second
India,Pakistan,Dhaka,India,Bangladesh,Neutral,Neutral,First,Second,1998,Sunday,batting first
India,Pakistan,Dhaka,India,Bangladesh,Neutral,Neutral,Second,First,1998,Wednesday,batting second
India,Pakistan,Dhaka,Pakistan,Bangladesh,Neutral,Neutral,First,Second,1998,Friday,batting second
India,Pakistan,Dhaka,India,Bangladesh,Neutral,Neutral,Second,First,1998,Sunday,batting second
India,Australia,Kochi,India,India,Home,Away,First,Second,1998,Wednesday,batting first
India,Zimbabwe,Vadodara,India,India,Home,Away,First,Second,1998,Sunday,batting first
India,Australia,Kanpur,India,India,Home,Away,Second,First,1998,Tuesday,batting second
India,Zimbabwe,Cuttack,India,India,Home,Away,First,Second,1998,Thursday,batting first
India,Australia,Delhi,Australia,India,Home,Away,First,Second,1998,Tuesday,batting second
India,New Zealand,Sharjah,India,U.A.E.,Neutral,Neutral,First,Second,1998,Friday,batting first
India,New Zealand,Sharjah,New Zealand,U.A.E.,Neutral,Neutral,First,Second,1998,Monday,batting second
India,Kenya,Bengaluru,India,India,Home,Away,Second,First,1998,Wednesday,batting second
India,Bangladesh,Mumbai,India,India,Home,Away,Second,First,1998,Monday,batting second
India,Kenya,Gwalior,Kenya,India,Home,Away,Second,First,1998,Thursday,batting first
India,Kenya,Kolkata,India,India,Home,Away,Second,First,1998,Sunday,batting second
India,Pakistan,Toronto,India,Canada,Neutral,Neutral,Second,First,1998,Saturday,batting second
India,Pakistan,Toronto,Pakistan,Canada,Neutral,Neutral,Second,First,1998,Sunday,batting first
India,Pakistan,Toronto,Pakistan,Canada,Neutral,Neutral,Second,First,1998,Wednesday,batting first
India,Pakistan,Toronto,Pakistan,Canada,Neutral,Neutral,Second,First,1998,Saturday,batting first
India,Pakistan,Toronto,Pakistan,Canada,Neutral,Neutral,First,Second,1998,Sunday,batting second
India,West Indies,Dhaka,West Indies,Bangladesh,Neutral,Neutral,First,Second,1998,Saturday,batting second
India,Sri Lanka,Sharjah,India,U.A.E.,Neutral,Neutral,Second,First,1998,Friday,batting second
India,Zimbabwe,Sharjah,India,U.A.E.,Neutral,Neutral,Second,First,1998,Sunday,batting second
India,Sri Lanka,Sharjah,India,U.A.E.,Neutral,Neutral,First,Second,1998,Monday,batting first
India,Zimbabwe,Sharjah,Zimbabwe,U.A.E.,Neutral,Neutral,Second,First,1998,Wednesday,batting first
India,Zimbabwe,Sharjah,India,U.A.E.,Neutral,Neutral,Second,First,1998,Friday,batting second
India,Sri Lanka,Nagpur,India,India,Home,Away,First,Second,1999,Monday,batting first
India,Pakistan,Jaipur,Pakistan,India,Home,Away,Second,First,1999,Wednesday,batting first
India,Sri Lanka,Pune,India,India,Home,Away,First,Second,1999,Tuesday,batting first
India,Pakistan,Bengaluru,Pakistan,India,Home,Away,Second,First,1999,Sunday,batting first
India,Pakistan,Sharjah,Pakistan,U.A.E.,Neutral,Neutral,Second,First,1999,Thursday,batting first
India,Pakistan,Sharjah,India,U.A.E.,Neutral,Neutral,Second,First,1999,Tuesday,batting second
India,Pakistan,Sharjah,Pakistan,U.A.E.,Neutral,Neutral,First,Second,1999,Friday,batting second
India,Zimbabwe,Leicester,Zimbabwe,England,Neutral,Neutral,Second,First,1999,Wednesday,batting first
India,Kenya,Bristol,India,England,Neutral,Neutral,First,Second,1999,Sunday,batting first
India,Sri Lanka,Taunton,India,England,Neutral,Neutral,First,Second,1999,Wednesday,batting first
India,Pakistan,Manchester,India,England,Neutral,Neutral,First,Second,1999,Tuesday,batting first
India,New Zealand,Nottingham,New Zealand,England,Neutral,Neutral,First,Second,1999,Saturday,batting second
India,West Indies,Toronto,India,Canada,Neutral,Neutral,Second,First,1999,Saturday,batting second
India,West Indies,Toronto,West Indies,Canada,Neutral,Neutral,Second,First,1999,Sunday,batting first
India,West Indies,Toronto,India,Canada,Neutral,Neutral,First,Second,1999,Tuesday,batting first
India,South Africa,Nairobi,India,Kenya,Neutral,Neutral,Second,First,1999,Sunday,batting second
India,Zimbabwe,Nairobi,India,Kenya,Neutral,Neutral,First,Second,1999,Friday,batting first
India,South Africa,Nairobi,South Africa,Kenya,Neutral,Neutral,Second,First,1999,Sunday,batting first
India,New Zealand,Rajkot,New Zealand,India,Home,Away,Second,First,1999,Friday,batting first
India,New Zealand,Hyderabad,India,India,Home,Away,First,Second,1999,Monday,batting first
India,New Zealand,Gwalior,India,India,Home,Away,First,Second,1999,Thursday,batting first
India,New Zealand,Guwahati,New Zealand,India,Home,Away,Second,First,1999,Sunday,batting first
India,New Zealand,Delhi,India,India,Home,Away,Second,First,1999,Wednesday,batting second
India,Pakistan,Brisbane,Pakistan,Australia,Neutral,Neutral,First,Second,2000,Monday,batting second
India,Pakistan,Hobart,Pakistan,Australia,Neutral,Neutral,Second,First,2000,Friday,batting first
India,Pakistan,Adelaide,India,Australia,Neutral,Neutral,First,Second,2000,Tuesday,batting first
India,Pakistan,Perth,Pakistan,Australia,Neutral,Neutral,Second,First,2000,Friday,batting first
India,South Africa,Kochi,India,India,Home,Away,Second,First,2000,Thursday,batting second
India,South Africa,Jamshedpur,India,India,Home,Away,Second,First,2000,Sunday,batting second
India,South Africa,Faridabad,South Africa,India,Home,Away,First,Second,2000,Wednesday,batting second
India,South Africa,Vadodara,India,India,Home,Away,Second,First,2000,Friday,batting second
India,South Africa,Nagpur,South Africa,India,Home,Away,Second,First,2000,Sunday,batting first
India,South Africa,Sharjah,South Africa,U.A.E.,Neutral,Neutral,First,Second,2000,Wednesday,batting second
India,Pakistan,Sharjah,India,U.A.E.,Neutral,Neutral,Second,First,2000,Thursday,batting second
India,Pakistan,Sharjah,Pakistan,U.A.E.,Neutral,Neutral,Second,First,2000,Sunday,batting first
India,South Africa,Sharjah,South Africa,U.A.E.,Neutral,Neutral,First,Second,2000,Monday,batting second
India,Sri Lanka,Dhaka,Sri Lanka,Bangladesh,Neutral,Neutral,Second,First,2000,Thursday,batting first
India,Pakistan,Dhaka,Pakistan,Bangladesh,Neutral,Neutral,Second,First,2000,Saturday,batting first
India,South Africa,Nairobi,India,Kenya,Neutral,Neutral,First,Second,2000,Friday,batting first
India,New Zealand,Nairobi,New Zealand,Kenya,Neutral,Neutral,First,Second,2000,Sunday,batting second
India,Sri Lanka,Sharjah,Sri Lanka,U.A.E.,Neutral,Neutral,First,Second,2000,Friday,batting second
India,Zimbabwe,Sharjah,India,U.A.E.,Neutral,Neutral,First,Second,2000,Sunday,batting first
India,Zimbabwe,Sharjah,India,U.A.E.,Neutral,Neutral,Second,First,2000,Thursday,batting second
India,Sri Lanka,Sharjah,Sri Lanka,U.A.E.,Neutral,Neutral,Second,First,2000,Friday,batting first
India,Sri Lanka,Sharjah,Sri Lanka,U.A.E.,Neutral,Neutral,Second,First,2000,Sunday,batting first
India,Zimbabwe,Cuttack,India,India,Home,Away,Second,First,2000,Saturday,batting second
India,Zimbabwe,Ahmedabad,India,India,Home,Away,First,Second,2000,Tuesday,batting first
India,Zimbabwe,Jodhpur,Zimbabwe,India,Home,Away,First,Second,2000,Friday,batting first
India,Zimbabwe,Kanpur,India,India,Home,Away,Second,First,2000,Monday,batting second
India,Zimbabwe,Rajkot,India,India,Home,Away,First,Second,2000,Thursday,batting first
India,Australia,Bengaluru,India,India,Home,Away,First,Second,2001,Sunday,batting first
India,Australia,Pune,Australia,India,Home,Away,First,Second,2001,Wednesday,batting second
India,Australia,Indore,India,India,Home,Away,First,Second,2001,Saturday,batting first
India,Australia,Visakhapatnam,Australia,India,Home,Away,Second,First,2001,Tuesday,batting first
India,Australia,Margao,Australia,India,Home,Away,First,Second,2001,Friday,batting second
India,West Indies,Bulawayo,India,Zimbabwe,Neutral,Neutral,Second,First,2001,Saturday,batting second
India,West Indies,Harare,India,Zimbabwe,Neutral,Neutral,Second,First,2001,Wednesday,batting second
India,West Indies,Harare,West Indies,Zimbabwe,Neutral,Neutral,Second,First,2001,Saturday,batting first
India,New Zealand,Colombo,New Zealand,Sri Lanka,Neutral,Neutral,Second,First,2001,Friday,batting first
India,New Zealand,Colombo,New Zealand,Sri Lanka,Neutral,Neutral,Second,First,2001,Thursday,batting first
India,New Zealand,Colombo,India,Sri Lanka,Neutral,Neutral,Second,First,2001,Thursday,batting second
India,Kenya,Bloemfontein,India,South Africa,Neutral,Neutral,Second,First,2001,Friday,batting second
India,Kenya,Port Elizabeth,Kenya,South Africa,Neutral,Neutral,Second,First,2001,Wednesday,batting first
India,Kenya,Paarl,India,South Africa,Neutral,Neutral,First,Second,2001,Wednesday,batting first
India,England,Kolkata,India,India,Home,Away,First,Second,2002,Saturday,batting first
India,England,Cuttack,England,India,Home,Away,Second,First,2002,Tuesday,batting first
India,England,Chennai,India,India,Home,Away,Second,First,2002,Friday,batting second
India,England,Kanpur,India,India,Home,Away,Second,First,2002,Monday,batting second
India,England,Delhi,England,India,Home,Away,Second,First,2002,Thursday,batting first
India,England,Mumbai,England,India,Home,Away,Second,First,2002,Sunday,batting first
India,Zimbabwe,Faridabad,Zimbabwe,India,Home,Away,First,Second,2002,Thursday,batting first
India,Zimbabwe,Kochi,Zimbabwe,India,Home,Away,First,Second,2002,Wednesday,batting second
